Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Denis Zakaria\Denis-Zakaria,MFDF,M'Gladbach,23,1996,25,1419,15.8,Bundesliga
Marco Richter\Marco-Richter,FWMF,Augsburg,22,1997,29,1416,15.7,Bundesliga
Marwin Hitz\Marwin-Hitz,GK,Dortmund,32,1987,16,1395,15.5,Bundesliga
Amin Younes\Amin-Younes,MFFW,Eint Frankfurt,26,1993,26,1391,15.5,Bundesliga
Hannes Wolf\Hannes-Wolf,MFFW,M'Gladbach,21,1999,32,1378,15.3,Bundesliga
Robert Gumny\Robert-Gumny,DF,Augsburg,22,1998,24,1377,15.3,Bundesliga
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,20,2000,29,1373,15.3,Bundesliga
Salih Özcan\Salih-Ozcan,MFFW,Koln,22,1998,28,1371,15.2,Bundesliga
Alexander Hack\Alexander-Hack,DF,Mainz 05,26,1993,21,1370,15.2,Bundesliga
Dominique Heintz\Dominique-Heintz,DF,Freiburg,26,1993,21,1369,15.2,Bundesliga
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,22,1997,21,1359,15.1,Bundesliga
Reece Oxford\Reece-Oxford,DF,Augsburg,21,1998,24,1358,15.1,Bundesliga
Mike van der Hoorn\Mike-van-der-Hoorn,DF,Arminia,27,1992,22,1356,15.1,Bundesliga
Yussuf Poulsen\Yussuf-Poulsen,FW,RB Leipzig,26,1994,27,1354,15,Bundesliga
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,19,2001,22,1305,14.5,Bundesliga
Nils Petersen\Nils-Petersen,FW,Freiburg,31,1988,32,1301,14.5,Bundesliga
Jorge Meré\Jorge-Mere,DF,Koln,23,1997,16,1300,14.4,Bundesliga
Omar Alderete\Omar-Alderete,DF,Hertha BSC,23,1996,17,1299,14.4,Bundesliga
Jonas Hector\Jonas-Hector,MF,Koln,30,1990,19,1290,14.3,Bundesliga
Thomas Delaney\Thomas-Delaney,MF,Dortmund,28,1991,20,1286,14.3,Bundesliga
Nico Schlotterbeck\Nico-Schlotterbeck,DF,Union Berlin,20,1999,16,1285,14.3,Bundesliga
Pascal Stenzel\Pascal-Stenzel,DF,Stuttgart,24,1996,23,1276,14.2,Bundesliga
Fabian Kunze\Fabian-Kunze,MF,Arminia,22,1998,26,1270,14.1,Bundesliga
Dominik Kohr\Dominik-Kohr,MF,Mainz 05,26,1994,17,1268,14.1,Bundesliga
Stefan Bell\Stefan-Bell,DF,Mainz 05,28,1991,16,1266,14.1,Bundesliga
Mahmoud Dahoud\Mahmoud-Dahoud,MF,Dortmund,24,1996,21,1258,14,Bundesliga
Oscar Wendt\Oscar-Wendt,DF,M'Gladbach,34,1985,22,1254,13.9,Bundesliga
Benito Raman\Benito-Raman,FWMF,Schalke 04,25,1994,25,1246,13.8,Bundesliga
Lucas Alario\Lucas-Alario,FW,Leverkusen,27,1992,25,1245,13.8,Bundesliga
Ozan Kabak\Ozan-Kabak,DF,Schalke 04,20,2000,14,1243,13.8,Bundesliga
Valentino Lazaro\Valentino-Lazaro,DFFW,M'Gladbach,24,1996,22,1240,13.8,Bundesliga
Dominick Drexler\Dominick-Drexler,MFFW,Koln,30,1990,27,1233,13.7,Bundesliga
Jérôme Roussillon\Jerome-Roussillon,DF,Wolfsburg,27,1993,20,1229,13.7,Bundesliga
David Abraham\David-Abraham,DF,Eint Frankfurt,34,1986,14,1222,13.6,Bundesliga
Niklas Moisander\Niklas-Moisander,DF,Werder Bremen,34,1985,18,1222,13.6,Bundesliga
Matija Nastasić\Matija-Nastasic,DF,Schalke 04,27,1993,15,1221,13.6,Bundesliga
Danny da Costa\Danny-da-Costa,DF,Mainz 05,27,1993,16,1208,13.4,Bundesliga
Mateo Klimowicz\Mateo-Klimowicz,FWMF,Stuttgart,20,2000,25,1198,13.3,Bundesliga
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,25,1995,16,1184,13.2,Bundesliga
Romano Schmid\Romano-Schmid,FWMF,Werder Bremen,20,2000,22,1177,13.1,Bundesliga
Sven Bender\Sven-Bender,DF,Leverkusen,31,1989,18,1170,13,Bundesliga
Robert Skov\Robert-Skov,FWDF,Hoffenheim,24,1996,23,1164,12.9,Bundesliga
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,20,2000,21,1160,12.9,Bundesliga
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,29,1991,18,1136,12.6,Bundesliga
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Koln,25,1995,21,1133,12.6,Bundesliga
Axel Witsel\Axel-Witsel,MF,Dortmund,31,1989,15,1130,12.6,Bundesliga
Sebastian Andersson\Sebastian-Andersson,FW,Koln,29,1991,16,1126,12.5,Bundesliga
Noah Katterbach\Noah-Katterbach,DF,Koln,19,2001,21,1111,12.3,Bundesliga
Maximilian Philipp\Maximilian-Philipp,MF,Wolfsburg,26,1994,24,1111,12.3,Bundesliga
Jacob Barrett Laursen\Jacob-Barrett-Laursen,DF,Arminia,25,1994,16,1108,12.3,Bundesliga
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,25,1995,18,1106,12.3,Bundesliga
Sergio Córdova\Sergio-Cordova,FWMF,Arminia,22,1997,23,1090,12.1,Bundesliga
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,32,1988,17,1072,11.9,Bundesliga
Marvin Plattenhardt\Marvin-Plattenhardt,DF,Hertha BSC,28,1992,16,1071,11.9,Bundesliga
Salif Sané\Salif-Sane,DF,Schalke 04,29,1990,14,1071,11.9,Bundesliga
Julian Ryerson\Julian-Ryerson,DFMF,Union Berlin,22,1997,24,1069,11.9,Bundesliga
Atakan Karazor\Atakan-Karazor,DFMF,Stuttgart,23,1996,19,1037,11.5,Bundesliga
Shkodran Mustafi\Shkodran-Mustafi,DF,Schalke 04,28,1992,13,1037,11.5,Bundesliga
Arne Maier\Arne-Maier,MF,Arminia,21,1999,16,1034,11.5,Bundesliga
Christian Gentner\Christian-Gentner,MF,Union Berlin,34,1985,22,1033,11.5,Bundesliga
Jan Thielmann\Jan-Thielmann,FWMF,Koln,18,2002,24,1029,11.4,Bundesliga
Andreas Voglsammer\Andreas-Voglsammer,FWMF,Arminia,28,1992,18,1000,11.1,Bundesliga
Moanes Dabour\Moanes-Dabour,FW,Hoffenheim,28,1992,22,999,11.1,Bundesliga
Marco John\Marco-John,DF,Hoffenheim,18,2002,14,997,11.1,Bundesliga
Jean-Philippe Mateta\Jean-Philippe-Mateta,FW,Mainz 05,23,1997,15,997,11.1,Bundesliga
Lukas Klünter\Lukas-Klunter,DF,Hertha BSC,24,1996,11,990,11,Bundesliga
Kasim Nuhu\Kasim-Nuhu,DF,Hoffenheim,25,1995,12,987,11,Bundesliga
Aymen Barkok\Aymen-Barkok,MFFW,Eint Frankfurt,22,1998,26,977,10.9,Bundesliga
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,27,1993,26,977,10.9,Bundesliga
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,30,1990,23,970,10.8,Bundesliga
Jordan Torunarigha\Jordan-Torunarigha,DF,Hertha BSC,22,1997,14,969,10.8,Bundesliga
Frederik Rønnow\Frederik-Ronnow,GK,Schalke 04,27,1992,11,945,10.5,Bundesliga
Chris Richards\Chris-Richards,DF,Hoffenheim,20,2000,11,944,10.5,Bundesliga
Alessandro Schopf\Alessandro-Schopf,FWMF,Schalke 04,26,1994,19,942,10.5,Bundesliga
Lars Bender\Lars-Bender,DF,Leverkusen,31,1989,14,936,10.4,Bundesliga
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,22,1998,15,934,10.4,Bundesliga
Masaya Okugawa\Masaya-Okugawa,MFFW,Arminia,24,1996,13,914,10.2,Bundesliga
Deyovaisio Zeefuik\Deyovaisio-Zeefuik,DFMF,Hertha BSC,22,1998,22,905,10.1,Bundesliga
Sava Cestic\Sava-Cestic,DF,Koln,19,2001,11,899,10,Bundesliga
Luka Jović\Luka-Jovic,FWMF,Eint Frankfurt,22,1997,18,894,9.9,Bundesliga
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,29,1990,24,890,9.9,Bundesliga
Mads Pedersen\Mads-Pedersen,DF,Augsburg,23,1996,15,887,9.9,Bundesliga
Lukas Kübler\Lukas-Kubler,DF,Freiburg,27,1992,19,884,9.8,Bundesliga
Jamal Musiala\Jamal-Musiala,FWMF,Bayern Munich,17,2003,26,881,9.8,Bundesliga
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,27,1993,19,877,9.7,Bundesliga
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,29,1991,27,876,9.7,Bundesliga
Joel Pohjanpalo\Joel-Pohjanpalo,FW,Union Berlin,25,1994,19,851,9.5,Bundesliga
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,24,1996,14,841,9.3,Bundesliga
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,26,1994,24,835,9.3,Bundesliga
Mateu Morey\Mateu-Morey,DF,Dortmund,20,2000,13,829,9.2,Bundesliga
Jeong Woo-yeong\Jeong-Woo-yeong,FWMF,Freiburg,20,1999,26,823,9.1,Bundesliga
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,25,1995,23,822,9.1,Bundesliga
Márton Dárdai\Marton-Dardai,DFMF,Hertha BSC,18,2002,12,821,9.1,Bundesliga
Eric Maxim Choupo-Moting\Eric-Maxim-Choupo-Moting,FWMF,Bayern Munich,31,1989,22,820,9.1,Bundesliga
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,29,1991,18,820,9.1,Bundesliga
Bas Dost\Bas-Dost,FW,Eint Frankfurt,31,1989,12,817,9.1,Bundesliga
Justin Kluivert\Justin-Kluivert,FW,RB Leipzig,21,1999,19,813,9,Bundesliga
Davie Selke\Davie-Selke,FW,Werder Bremen,25,1995,23,813,9,Bundesliga
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,30,1990,22,798,8.9,Bundesliga
Corentin Tolisso\Corentin-Tolisso,MF,Bayern Munich,25,1994,16,781,8.7,Bundesliga
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,23,1997,13,762,8.5,Bundesliga
Yuya Osako\Yuya-Osako,MFFW,Werder Bremen,30,1990,24,762,8.5,Bundesliga
Levin Öztunalı\Levin-Oztunali,DFFW,Mainz 05,24,1996,17,758,8.4,Bundesliga
Roberto Massimo\Roberto-Massimo,DFFW,Stuttgart,19,2000,18,757,8.4,Bundesliga
Cedric Teuchert\Cedric-Teuchert,FWMF,Union Berlin,23,1997,24,754,8.4,Bundesliga
Gonçalo Paciência\Goncalo-Paciencia,FW,Schalke 04,25,1994,15,749,8.3,Bundesliga
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,29,1990,20,747,8.3,Bundesliga
Sven Schipplock\Sven-Schipplock,FWMF,Arminia,31,1988,32,744,8.3,Bundesliga
Ádám Szalai\Adam-Szalai,FW,Mainz 05,32,1987,18,733,8.1,Bundesliga
Rune Jarstein\Rune-Jarstein,GK,Hertha BSC,35,1984,8,720,8,Bundesliga
Petar Musa\Petar-Musa,FW,Union Berlin,22,1998,14,715,7.9,Bundesliga
Almamy Touré\Almamy-Toure,DF,Eint Frankfurt,24,1996,17,704,7.8,Bundesliga
Felix Agu\Felix-Agu,DFFW,Werder Bremen,20,1999,15,701,7.8,Bundesliga
Håvard Nordtveit\Havard-Nordtveit,DF,Hoffenheim,30,1990,12,700,7.8,Bundesliga
Ibrahima Konaté\Ibrahima-Konate,DF,RB Leipzig,21,1999,14,695,7.7,Bundesliga
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,26,1993,23,687,7.6,Bundesliga
László Bénes\Laszlo-Benes,MFFW,Augsburg,22,1997,12,660,7.3,Bundesliga
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,22,1998,9,658,7.3,Bundesliga
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,27,1993,16,654,7.3,Bundesliga
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,19,2001,14,651,7.2,Bundesliga
Reinhold Yabo\Reinhold-Yabo,MFFW,Arminia,28,1992,13,647,7.2,Bundesliga
Nathan de Medina\Nathan-de-Medina,DF,Arminia,22,1997,16,639,7.1,Bundesliga
Nemanja Radonjić\Nemanja-Radonjic,FWDF,Hertha BSC,24,1996,12,611,6.8,Bundesliga
Nico Schulz\Nico-Schulz,DF,Dortmund,27,1993,13,610,6.8,Bundesliga
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,21,1999,12,605,6.7,Bundesliga
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,28,1992,14,596,6.6,Bundesliga
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,FW,Schalke 04,36,1983,9,588,6.5,Bundesliga
Steven Zuber\Steven-Zuber,DFMF,Eint Frankfurt,28,1991,20,585,6.5,Bundesliga
Marin Pongračić\Marin-Pongracic,DF,Wolfsburg,22,1997,10,575,6.4,Bundesliga
Exequiel Palacios\Exequiel-Palacios,MF,Leverkusen,21,1998,9,572,6.4,Bundesliga
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,25,1994,9,548,6.1,Bundesliga
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,31,1989,17,544,6,Bundesliga
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,23,1997,13,540,6,Bundesliga
Kevin Stoger\Kevin-Stoger,MFFW,Mainz 05,26,1993,19,538,6,Bundesliga
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,22,1998,12,529,5.9,Bundesliga
Florian Hübner\Florian-Hubner,DF,Union Berlin,29,1991,6,525,5.8,Bundesliga
Kilian Ludewig\Kilian-Ludewig,DF,Schalke 04,20,2000,6,520,5.8,Bundesliga
Pierre Kunde\Pierre-Kunde,MF,Mainz 05,25,1995,11,513,5.7,Bundesliga
Mathew Leckie\Mathew-Leckie,FWDF,Hertha BSC,29,1991,17,506,5.6,Bundesliga
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,18,2002,6,500,5.6,Bundesliga
Yannik Keitel\Yannik-Keitel,MF,Freiburg,20,2000,12,498,5.5,Bundesliga
Janik Haberer\Janik-Haberer,MFFW,Freiburg,26,1994,14,486,5.4,Bundesliga
Sargis Adamyan\Sargis-Adamyan,FWMF,Hoffenheim,27,1993,18,479,5.3,Bundesliga
Emmanuel Dennis\Emmanuel-Dennis,FW,Koln,22,1997,9,474,5.3,Bundesliga
William\William,DFFW,Schalke 04,25,1995,8,474,5.3,Bundesliga
João Victor Santos Sá\Joao-Victor-Santos-Sa,FW,Wolfsburg,26,1994,21,469,5.2,Bundesliga
Javi Martínez\Javi-Martinez,DFMF,Bayern Munich,31,1988,19,466,5.2,Bundesliga
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,24,1996,18,460,5.1,Bundesliga
Cebio Soukou\Cebio-Soukou,FWMF,Arminia,27,1992,14,458,5.1,Bundesliga
Keita Endo\Keita-Endo,MFFW,Union Berlin,22,1997,16,456,5.1,Bundesliga
Łukasz Piszczek\Lukasz-Piszczek,DF,Dortmund,35,1985,11,455,5.1,Bundesliga
Bouna Sarr\Bouna-Sarr,DF,Bayern Munich,28,1992,8,452,5,Bundesliga
Florian Kainz\Florian-Kainz,FWMF,Koln,27,1992,8,447,5,Bundesliga
Demarai Gray\Demarai-Gray,FW,Leverkusen,24,1996,10,442,4.9,Bundesliga
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,19,2000,10,436,4.8,Bundesliga
Timothy Chandler\Timothy-Chandler,DF,Eint Frankfurt,30,1990,15,432,4.8,Bundesliga
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,28,1991,13,430,4.8,Bundesliga
Youssoufa Moukoko\Youssoufa-Moukoko,FWMF,Dortmund,15,2004,14,422,4.7,Bundesliga
Philipp Klement\Philipp-Klement,MFFW,Stuttgart,27,1992,18,421,4.7,Bundesliga
Steven Skrzybski\Steven-Skrzybski,FWDF,Schalke 04,27,1992,13,419,4.7,Bundesliga
Benno Schmitz\Benno-Schmitz,DF,Koln,25,1994,12,416,4.6,Bundesliga
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,22,1998,6,409,4.5,Bundesliga
Sami Khedira\Sami-Khedira,MF,Hertha BSC,33,1987,9,395,4.4,Bundesliga
Tahith Chong\Tahith-Chong,FWMF,Werder Bremen,20,1999,13,386,4.3,Bundesliga
Luca Kilian\Luca-Kilian,DF,Mainz 05,20,1999,6,381,4.2,Bundesliga
Dimitris Limnios\Dimitris-Limnios,MFFW,Koln,22,1998,12,378,4.2,Bundesliga
Fredrik Jensen\Fredrik-Jensen,FWMF,Augsburg,22,1997,13,377,4.2,Bundesliga
Michel Vlap\Michel-Vlap,MFFW,Arminia,23,1997,7,371,4.1,Bundesliga
Felix Passlack\Felix-Passlack,DF,Dortmund,22,1998,7,362,4,Bundesliga
Florian Flick\Florian-Flick,MF,Schalke 04,20,2000,4,360,4,Bundesliga
Lennart Grill\Lennart-Grill,GK,Leverkusen,21,1999,4,360,4,Bundesliga
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,26,1994,13,359,4,Bundesliga
Max Meyer\Max-Meyer,MF,Koln,24,1995,10,351,3.9,Bundesliga
Tobias Sippel\Tobias-Sippel,GK,M'Gladbach,32,1988,4,344,3.8,Bundesliga
Nils Seufert\Nils-Seufert,MFFW,Arminia,23,1997,13,343,3.8,Bundesliga
Douglas Costa\Douglas-Costa,FWMF,Bayern Munich,29,1990,11,320,3.6,Bundesliga
Erik Thommy\Erik-Thommy,DFFW,Stuttgart,25,1994,8,313,3.5,Bundesliga
Luca Netz\Luca-Netz,DFMF,Hertha BSC,17,2003,11,309,3.4,Bundesliga
Marek Suchý\Marek-Suchy,DF,Augsburg,32,1988,5,305,3.4,Bundesliga
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,17,2002,4,296,3.3,Bundesliga
Jessic Ngankam\Jessic-Ngankam,FW,Hertha BSC,20,2000,15,296,3.3,Bundesliga
Loris Karius\Loris-Karius,GK,Union Berlin,27,1993,4,292,3.2,Bundesliga
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,18,2002,9,277,3.1,Bundesliga
Dan-Axel Zagadou\Dan-Axel-Zagadou,DF,Dortmund,21,1999,9,276,3.1,Bundesliga
Ajdin Hrustic\Ajdin-Hrustic,MFFW,Eint Frankfurt,24,1996,11,272,3,Bundesliga
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,18,2001,19,270,3,Bundesliga
Finn Dahmen\Finn-Dahmen,GK,Mainz 05,22,1998,3,270,3,Bundesliga
Mark Flekken\Mark-Flekken,GK,Freiburg,27,1993,3,270,3,Bundesliga
Philipp Pentke\Philipp-Pentke,GK,Hoffenheim,35,1985,3,270,3,Bundesliga
Lino Tempelmann\Lino-Tempelmann,MFDF,Freiburg,21,1999,10,270,3,Bundesliga
Tony Jantschke\Tony-Jantschke,DF,M'Gladbach,30,1990,8,269,3,Bundesliga
Jan Morávek\Jan-Moravek,MF,Augsburg,30,1989,5,267,3,Bundesliga
Aarón Martín\Aaron-Martin,DF,Mainz 05,23,1997,5,262,2.9,Bundesliga
Dominik Kohr\Dominik-Kohr,MFFW,Eint Frankfurt,26,1994,7,260,2.9,Bundesliga
Reinier\Reinier,MFFW,Dortmund,18,2002,14,257,2.9,Bundesliga
Naouirou Ahamada\Naouirou-Ahamada,MF,Stuttgart,18,2002,6,252,2.8,Bundesliga
Georginio Rutter\Georginio-Rutter,FW,Hoffenheim,18,2002,9,241,2.7,Bundesliga
Michael Langer\Michael-Langer,GK,Schalke 04,35,1985,3,239,2.7,Bundesliga
Blendi Idrizi\Blendi-Idrizi,MF,Schalke 04,22,1998,3,238,2.6,Bundesliga
Mitchell Weiser\Mitchell-Weiser,DF,Leverkusen,26,1994,5,226,2.5,Bundesliga
Davy Klaassen\Davy-Klaassen,MF,Werder Bremen,27,1993,3,222,2.5,Bundesliga
Anthony Modeste\Anthony-Modeste,FWMF,Koln,32,1988,8,221,2.5,Bundesliga
Rabbi Matondo\Rabbi-Matondo,FWMF,Schalke 04,19,2000,3,220,2.4,Bundesliga
Marcin Kamiński\Marcin-Kaminski,DF,Stuttgart,28,1992,5,219,2.4,Bundesliga
Kwon Chang-hoon\Kwon-Chang-hoon,MFFW,Freiburg,26,1994,12,216,2.4,Bundesliga
Darko Churlinov\Darko-Churlinov,DFFW,Stuttgart,20,2000,14,216,2.4,Bundesliga
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,29,1991,11,215,2.4,Bundesliga
Lazar Samardzic\Lazar-Samardzic,MFFW,RB Leipzig,18,2002,7,200,2.2,Bundesliga
Louis Beyer\Louis-Beyer,DF,M'Gladbach,20,2000,4,188,2.1,Bundesliga
Ridle Baku\Ridle-Baku,DF,Mainz 05,22,1998,2,180,2,Bundesliga
Pavao Pervan\Pavao-Pervan,GK,Wolfsburg,32,1987,2,180,2,Bundesliga
Sebastian Rudy\Sebastian-Rudy,DF,Schalke 04,30,1990,2,180,2,Bundesliga
Marc Roca\Marc-Roca,MF,Bayern Munich,23,1996,6,177,2,Bundesliga
Vedad Ibišević\Vedad-Ibisevic,FW,Schalke 04,35,1984,4,156,1.7,Bundesliga
Tin Jedvaj\Tin-Jedvaj,DF,Leverkusen,24,1995,3,152,1.7,Bundesliga
László Bénes\Laszlo-Benes,MF,M'Gladbach,22,1997,7,150,1.7,Bundesliga
Nick Woltemade\Nick-Woltemade,FWMF,Werder Bremen,18,2002,6,147,1.6,Bundesliga
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,28,1992,7,140,1.6,Bundesliga
Felix Klaus\Felix-Klaus,DFMF,Wolfsburg,27,1992,6,137,1.5,Bundesliga
Niklas Lomb\Niklas-Lomb,GK,Leverkusen,27,1993,2,135,1.5,Bundesliga
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,30,1990,2,128,1.4,Bundesliga
Guus Til\Guus-Til,FW,Freiburg,22,1997,7,125,1.4,Bundesliga
Nianzou Kouassi\Nianzou-Kouassi,DFMF,Bayern Munich,18,2002,6,118,1.3,Bundesliga
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Koln,19,2000,10,112,1.2,Bundesliga
Danny da Costa\Danny-da-Costa,DF,Eint Frankfurt,27,1993,6,110,1.2,Bundesliga
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,18,2001,8,108,1.2,Bundesliga
Ahmed Kutucu\Ahmed-Kutucu,FWMF,Schalke 04,20,2000,7,108,1.2,Bundesliga
Daishawn Redan\Daishawn-Redan,FWMF,Hertha BSC,19,2001,7,102,1.1,Bundesliga
Ragnar Ache\Ragnar-Ache,FWDF,Eint Frankfurt,22,1998,7,100,1.1,Bundesliga
Frederik Sørensen\Frederik-Sorensen,DFMF,Koln,28,1992,3,99,1.1,Bundesliga
Ibrahima Traoré\Ibrahima-Traore,FWDF,M'Gladbach,32,1988,7,98,1.1,Bundesliga
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,22,1997,3,95,1.1,Bundesliga
Joshua Zirkzee\Joshua-Zirkzee,FW,Bayern Munich,19,2001,3,92,1,Bundesliga
Santiago Arias\Santiago-Arias,DF,Leverkusen,28,1992,1,90,1,Bundesliga
Elias Bordner\Elias-Bordner,GK,Eint Frankfurt,18,2002,1,90,1,Bundesliga
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,25,1995,1,90,1,Bundesliga
Josep Martinez\Josep-Martinez,GK,RB Leipzig,22,1998,1,90,1,Bundesliga
Alexander Nübel\Alexander-Nubel,GK,Bayern Munich,23,1996,1,90,1,Bundesliga
Josip Stanišić\Josip-Stanisic,DF,Bayern Munich,20,2000,1,90,1,Bundesliga
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,21,1998,2,89,1,Bundesliga
Chris Richards\Chris-Richards,DF,Bayern Munich,20,2000,3,89,1,Bundesliga
Eduard Lowen\Eduard-Lowen,MFDF,Hertha BSC,23,1997,7,85,0.9,Bundesliga
Konrad Laimer\Konrad-Laimer,DFFW,RB Leipzig,23,1997,3,84,0.9,Bundesliga
Brian Behrendt\Brian-Behrendt,DF,Arminia,28,1991,3,79,0.9,Bundesliga
Ansgar Knauff\Ansgar-Knauff,FWMF,Dortmund,18,2002,4,71,0.8,Bundesliga
Tiago Dantas\Tiago-Dantas,MF,Bayern Munich,19,2000,2,69,0.8,Bundesliga
Niklas Tauer\Niklas-Tauer,MFDF,Mainz 05,19,2001,5,69,0.8,Bundesliga
Paulinho\Paulinho,FW,Leverkusen,20,2000,1,65,0.7,Bundesliga
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,29,1991,6,62,0.7,Bundesliga
Amir Abrashi\Amir-Abrashi,MFDF,Freiburg,30,1990,5,60,0.7,Bundesliga
Rocco Reitz\Rocco-Reitz,MF,M'Gladbach,18,2002,2,60,0.7,Bundesliga
Yunus Mallı\Yunus-Malli,MF,Wolfsburg,28,1992,1,58,0.6,Bundesliga
Jóan Símun Edmundsson\Joan-Simun-Edmundsson,MFFW,Arminia,29,1991,5,58,0.6,Bundesliga
Steffen Tigges\Steffen-Tigges,FWDF,Dortmund,22,1998,6,56,0.6,Bundesliga
Marco Hoger\Marco-Hoger,DFMF,Koln,30,1989,3,53,0.6,Bundesliga
Klauss\Klauss,FWDF,Hoffenheim,23,1997,4,51,0.6,Bundesliga
Paul Nebel\Paul-Nebel,MFFW,Mainz 05,17,2002,4,51,0.6,Bundesliga
Ron-Robert Zieler\Ron-Robert-Zieler,GK,Koln,31,1989,1,51,0.6,Bundesliga
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,29,1990,6,46,0.5,Bundesliga
Jan Luca Schuler\Jan-Luca-Schuler,FW,Schalke 04,21,1999,2,40,0.4,Bundesliga
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,19,2001,2,39,0.4,Bundesliga
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,DFFW,Stuttgart,17,2002,5,38,0.4,Bundesliga
Leon Dajaku\Leon-Dajaku,FW,Union Berlin,19,2001,2,37,0.4,Bundesliga
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,23,1996,5,36,0.4,Bundesliga
Tim Civeja\Tim-Civeja,MFDF,Augsburg,18,2002,3,34,0.4,Bundesliga
Christopher Scott\Christopher-Scott,FW,Bayern Munich,18,2002,2,34,0.4,Bundesliga
Tim Siersleben\Tim-Siersleben,DF,Wolfsburg,20,2000,1,34,0.4,Bundesliga
Joscha Wosz\Joscha-Wosz,DFFW,RB Leipzig,18,2002,2,34,0.4,Bundesliga
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,22,1998,2,33,0.4,Bundesliga
Arne Maier\Arne-Maier,MF,Hertha BSC,21,1999,2,30,0.3,Bundesliga
Philipp Bargfrede\Philipp-Bargfrede,MF,Werder Bremen,31,1989,1,27,0.3,Bundesliga
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,25,1995,4,26,0.3,Bundesliga
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,17,2003,1,25,0.3,Bundesliga
Henning Matriciani\Henning-Matriciani,DF,Schalke 04,20,2000,1,24,0.3,Bundesliga
Issah Abbas\Issah-Abbas,DFFW,Mainz 05,21,1998,2,18,0.2,Bundesliga
