Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,31,1989,24,2026,22.5,La Liga
Darwin Machís\Darwin-Machis,FWMF,Granada,27,1993,32,2026,22.5,La Liga
Tete Morente\Tete-Morente,MFFW,Elche,23,1996,30,2019,22.4,La Liga
Nacho\Nacho,DF,Real Madrid,30,1990,24,2000,22.2,La Liga
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,20,2000,25,1988,22.1,La Liga
Pere Milla\Pere-Milla,FWMF,Elche,27,1992,32,1981,22,La Liga
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,22,1998,22,1980,22,La Liga
Vinicius Júnior\Vinicius-Junior,FW,Real Madrid,20,2000,35,1969,21.9,La Liga
Josema\Josema,DF,Elche,24,1996,29,1966,21.8,La Liga
Pablo Maffeo\Pablo-Maffeo,DF,Huesca,23,1997,25,1964,21.8,La Liga
Juan Cruz Armada\Juan-Cruz-Armada,DF,Osasuna,28,1992,26,1962,21.8,La Liga
Igor Zubeldia\Igor-Zubeldia,DF,Real Sociedad,23,1997,24,1959,21.8,La Liga
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,25,1995,23,1948,21.6,La Liga
Álex Fernández\Alex-Fernandez,MF,Cádiz,27,1992,25,1946,21.6,La Liga
Iker Muniain\Iker-Muniain,MFFW,Athletic Club,27,1992,28,1943,21.6,La Liga
Salvi\Salvi,MFFW,Cádiz,29,1991,28,1933,21.5,La Liga
Josan\Josan,MFDF,Elche,30,1989,33,1926,21.4,La Liga
Dani García\Dani-Garcia,MF,Athletic Club,30,1990,27,1920,21.3,La Liga
Sergiño Dest\Sergino-Dest,DF,Barcelona,19,2000,30,1909,21.2,La Liga
Óscar Mingueza\Oscar-Mingueza,DF,Barcelona,21,1999,27,1901,21.1,La Liga
Roberto Torres\Roberto-Torres,MFFW,Osasuna,31,1989,35,1894,21,La Liga
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,26,1994,23,1884,20.9,La Liga
Martín Zubimendi\Martin-Zubimendi,MF,Real Sociedad,21,1999,31,1882,20.9,La Liga
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,24,1996,35,1869,20.8,La Liga
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,26,1994,29,1853,20.6,La Liga
Mario Gaspar\Mario-Gaspar,DF,Villarreal,29,1990,24,1851,20.6,La Liga
Lucas Vázquez\Lucas-Vazquez,DFFW,Real Madrid,29,1991,24,1848,20.5,La Liga
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,29,1991,24,1825,20.3,La Liga
Takashi Inui\Takashi-Inui,MFFW,Eibar,32,1988,28,1819,20.2,La Liga
Nacho\Nacho,DF,Valladolid,31,1989,23,1813,20.1,La Liga
Claudio Bravo\Claudio-Bravo,GK,Betis,37,1983,20,1800,20,La Liga
Carlos Neva\Carlos-Neva,DF,Granada,24,1996,22,1797,20,La Liga
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,29,1991,29,1795,19.9,La Liga
Álex Moreno\Alex-Moreno,DF,Betis,27,1993,23,1786,19.8,La Liga
Iván Villar\Ivan-Villar,GK,Celta Vigo,23,1997,21,1781,19.8,La Liga
Dani Calvo\Dani-Calvo,DF,Elche,26,1994,23,1779,19.8,La Liga
Ousmane Dembélé\Ousmane-Dembele,FWDF,Barcelona,23,1997,30,1774,19.7,La Liga
José María Giménez\Jose-Maria-Gimenez,DF,Atlético Madrid,25,1995,21,1765,19.6,La Liga
Roque Mesa\Roque-Mesa,MF,Valladolid,31,1989,25,1761,19.6,La Liga
Lucas Pérez\Lucas-Perez,FW,Alavés,31,1988,28,1759,19.5,La Liga
Raúl García\Raul-Garcia,FWMF,Athletic Club,34,1986,34,1743,19.4,La Liga
Jorge Miramón\Jorge-Miramon,DF,Levante,31,1989,26,1732,19.2,La Liga
Mikel Vesga\Mikel-Vesga,MF,Athletic Club,27,1993,30,1722,19.1,La Liga
Unai Vencedor Paris\Unai-Vencedor-Paris,MF,Athletic Club,19,2000,28,1701,18.9,La Liga
Marc Bartra\Marc-Bartra,DF,Betis,29,1991,19,1694,18.8,La Liga
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,32,1988,23,1689,18.8,La Liga
Enis Bardhi\Enis-Bardhi,MFFW,Levante,25,1995,26,1682,18.7,La Liga
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,30,1990,23,1682,18.7,La Liga
Dani Gómez\Dani-Gomez,FW,Levante,22,1998,34,1666,18.5,La Liga
Luis Javier Suárez\Luis-Javier-Suarez,FWMF,Granada,22,1997,27,1666,18.5,La Liga
Juan Miranda\Juan-Miranda,DF,Betis,20,2000,22,1652,18.4,La Liga
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,25,1995,19,1637,18.2,La Liga
Ante Budimir\Ante-Budimir,FW,Osasuna,29,1991,30,1625,18.1,La Liga
Sergio Postigo\Sergio-Postigo,DF,Levante,31,1988,22,1623,18,La Liga
Joel Robles\Joel-Robles,GK,Betis,30,1990,18,1620,18,La Liga
Jorge Molina\Jorge-Molina,FWMF,Granada,38,1982,33,1615,17.9,La Liga
Lucas Olaza\Lucas-Olaza,DF,Celta Vigo,26,1994,18,1615,17.9,La Liga
Aitor Ruibal\Aitor-Ruibal,FWMF,Betis,24,1996,28,1593,17.7,La Liga
Asier Villalibre\Asier-Villalibre,FW,Athletic Club,22,1997,35,1589,17.7,La Liga
Pablo Insua\Pablo-Insua,DF,Huesca,26,1993,20,1587,17.6,La Liga
João Félix\Joao-Felix,FWMF,Atlético Madrid,20,1999,31,1572,17.5,La Liga
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,28,1992,27,1568,17.4,La Liga
Martin Agirregabiria\Martin-Agirregabiria,DFMF,Alavés,24,1996,26,1558,17.3,La Liga
Alberto Perea\Alberto-Perea,MF,Cádiz,29,1990,27,1549,17.2,La Liga
Lucas Torró\Lucas-Torro,MF,Osasuna,26,1994,25,1548,17.2,La Liga
Paco Alcácer\Paco-Alcacer,FW,Villarreal,26,1993,27,1544,17.2,La Liga
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,26,1993,25,1544,17.2,La Liga
Aarón Martín\Aaron-Martin,DF,Celta Vigo,23,1997,19,1540,17.1,La Liga
Yunus Musah\Yunus-Musah,MF,Valencia,17,2002,32,1530,17,La Liga
Pedro Bigas\Pedro-Bigas,DF,Eibar,29,1990,21,1529,17,La Liga
Anthony Lozano\Anthony-Lozano,FWMF,Cádiz,27,1993,29,1523,16.9,La Liga
Óscar de Marcos\Oscar-de-Marcos,DFMF,Athletic Club,31,1989,25,1520,16.9,La Liga
Ronald Araújo\Ronald-Araujo,DF,Barcelona,21,1999,24,1510,16.8,La Liga
Gerard Piqué\Gerard-Pique,DF,Barcelona,33,1987,18,1481,16.5,La Liga
Maxime Gonalons\Maxime-Gonalons,MF,Granada,31,1989,25,1480,16.4,La Liga
Kenedy\Kenedy,FWMF,Granada,24,1996,28,1471,16.3,La Liga
Cucho\Cucho,FWMF,Getafe,21,1999,23,1466,16.3,La Liga
Fede San Emeterio\Fede-San-Emeterio,MF,Valladolid,23,1997,24,1460,16.2,La Liga
José Mari\Jose-Mari,MF,Cádiz,32,1987,22,1451,16.1,La Liga
Andrés Fernández\Andres-Fernandez,GK,Huesca,33,1986,16,1440,16,La Liga
Roberto Soldado\Roberto-Soldado,FW,Granada,35,1985,29,1438,16,La Liga
Kike Barja\Kike-Barja,MFFW,Osasuna,23,1997,33,1433,15.9,La Liga
Rober\Rober,DFMF,Levante,25,1995,19,1425,15.8,La Liga
Unai López\Unai-Lopez,MF,Athletic Club,24,1995,26,1424,15.8,La Liga
Borja Iglesias\Borja-Iglesias,FW,Betis,27,1993,28,1411,15.7,La Liga
Sergi Enrich\Sergi-Enrich,FW,Eibar,30,1990,27,1404,15.6,La Liga
Rubén Rochina\Ruben-Rochina,MF,Levante,29,1991,25,1404,15.6,La Liga
Óliver Torres\Oliver-Torres,MFFW,Sevilla,25,1994,33,1400,15.6,La Liga
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,21,1999,32,1399,15.5,La Liga
David Silva\David-Silva,MF,Real Sociedad,34,1986,21,1399,15.5,La Liga
Jota\Jota,MF,Alavés,29,1991,23,1398,15.5,La Liga
David Timor\David-Timor,MFDF,Getafe,30,1989,30,1395,15.5,La Liga
Jawad El Yamiq\Jawad-El-Yamiq,DF,Valladolid,28,1992,19,1379,15.3,La Liga
Ángel Rodríguez\Angel-Rodriguez,FWMF,Getafe,33,1987,33,1374,15.3,La Liga
Carles Aleñá\Carles-Alena,MFFW,Getafe,22,1998,22,1366,15.2,La Liga
Thomas Lemar\Thomas-Lemar,MFFW,Atlético Madrid,24,1995,27,1366,15.2,La Liga
Samuel Chukwueze\Samuel-Chukwueze,MFFW,Villarreal,21,1999,28,1365,15.2,La Liga
Jon Morcillo\Jon-Morcillo,MFFW,Athletic Club,21,1998,30,1363,15.1,La Liga
Ángel Montoro\Angel-Montoro,MF,Granada,32,1988,22,1362,15.1,La Liga
Jesús Vallejo\Jesus-Vallejo,DF,Granada,23,1997,21,1348,15,La Liga
Iñigo Pérez\Inigo-Perez,MFDF,Osasuna,32,1988,22,1347,15,La Liga
Federico Valverde\Federico-Valverde,MF,Real Madrid,22,1998,24,1330,14.8,La Liga
Erick Cabaco\Erick-Cabaco,DF,Getafe,25,1995,20,1326,14.7,La Liga
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,22,1997,25,1321,14.7,La Liga
Andrés Guardado\Andres-Guardado,MF,Betis,33,1986,24,1318,14.6,La Liga
Enes Ünal\Enes-Unal,FW,Getafe,23,1997,28,1318,14.6,La Liga
Ander Barrenetxea\Ander-Barrenetxea,MFFW,Real Sociedad,18,2001,31,1307,14.5,La Liga
Luis Pérez\Luis-Perez,DF,Valladolid,25,1995,22,1297,14.4,La Liga
Joaquín\Joaquin,FWMF,Betis,39,1981,27,1291,14.3,La Liga
Joseph Aidoo\Joseph-Aidoo,DF,Celta Vigo,24,1995,25,1289,14.3,La Liga
Sandro Ramírez\Sandro-Ramirez,FWMF,Huesca,25,1995,20,1285,14.3,La Liga
Cristian Tello\Cristian-Tello,FWMF,Betis,28,1991,29,1283,14.3,La Liga
Diego González\Diego-Gonzalez,DF,Elche,25,1995,19,1280,14.2,La Liga
Jairo Izquierdo\Jairo-Izquierdo,MFDF,Cádiz,26,1993,30,1277,14.2,La Liga
Sergio Ramos\Sergio-Ramos,DF,Real Madrid,34,1986,15,1275,14.2,La Liga
Luuk de Jong\Luuk-de-Jong,FW,Sevilla,29,1990,34,1268,14.1,La Liga
Lee Kangin\Lee-Kangin,FWMF,Valencia,19,2001,24,1262,14,La Liga
Lucas Olaza\Lucas-Olaza,DF,Valladolid,26,1994,14,1260,14,La Liga
Luis Milla\Luis-Milla,MF,Granada,25,1994,16,1253,13.9,La Liga
Unai García\Unai-Garcia,DF,Osasuna,28,1992,17,1242,13.8,La Liga
Facundo Roncaglia\Facundo-Roncaglia,DF,Osasuna,33,1987,17,1232,13.7,La Liga
William Carvalho\William-Carvalho,MF,Betis,28,1992,27,1223,13.6,La Liga
Saidy Janko\Saidy-Janko,DF,Valladolid,24,1995,19,1220,13.6,La Liga
Aihen Muñoz\Aihen-Munoz,DF,Real Sociedad,22,1997,16,1210,13.4,La Liga
