,,,,,,Play,Play,Play,Play
Player,Nation,Pos,Squad,Age,Born,MP,Min▼,90s,Starts
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,32,1988,31,2576,28.6,31
John Fleck\John-Fleck,sct SCO,MF,Sheffield Utd,28,1991,31,2575,28.6,29
Jannik Vestergaard\Jannik-Vestergaard,dk DEN,DF,Southampton,27,1992,30,2574,28.6,29
Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,24,1996,33,2572,28.6,31
Fabinho\Fabinho,br BRA,DFMF,Liverpool,26,1993,30,2567,28.5,28
Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,23,1996,38,2562,28.5,30
Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,22,1998,34,2559,28.4,29
Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,24,1995,30,2558,28.4,28
Bukayo Saka\Bukayo-Saka,eng ENG,FWDF,Arsenal,18,2001,32,2553,28.4,30
Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,20,2000,31,2550,28.3,30
Raheem Sterling\Raheem-Sterling,eng ENG,FW,Manchester City,25,1994,31,2536,28.2,28
Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,20,2000,30,2531,28.1,28
João Moutinho\Joao-Moutinho,pt POR,MF,Wolves,33,1986,33,2528,28.1,28
Granit Xhaka\Granit-Xhaka,ch SUI,MFDF,Arsenal,27,1992,31,2522,28.0,29
Eric Dier\Eric-Dier,eng ENG,DF,Tottenham,26,1994,28,2520,28.0,28
Neal Maupay\Neal-Maupay,fr FRA,FWMF,Brighton,23,1996,33,2512,27.9,29
Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,25,1995,33,2503,27.8,28
Angelo Ogbonna\Angelo-Ogbonna,it ITA,DF,West Ham,32,1988,28,2492,27.7,28
Pascal Groß\Pascal-Gross,de GER,MFDF,Brighton,29,1991,34,2484,27.6,27
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,32,1988,28,2473,27.5,28
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,26,1993,36,2472,27.5,27
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,28,1992,36,2461,27.3,29
Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Everton,27,1993,29,2443,27.1,29
Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,22,1997,27,2430,27.0,27
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26,1994,34,2429,27.0,28
Kalvin Phillips\Kalvin-Phillips,eng ENG,MF,Leeds United,24,1995,29,2428,27.0,28
Charlie Taylor\Charlie-Taylor,eng ENG,DF,Burnley,26,1993,29,2426,27.0,28
Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,30,1990,27,2407,26.7,27
David McGoldrick\David-McGoldrick,ie IRL,FWMF,Sheffield Utd,32,1987,35,2397,26.6,28
Mateusz Klich\Mateusz-Klich,pl POL,MF,Leeds United,30,1990,35,2393,26.6,28
Fred\Fred,br BRA,MF,Manchester Utd,27,1993,30,2390,26.6,27
Reece James\Reece-James,eng ENG,DF,Chelsea,20,1999,32,2373,26.4,25
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,22,1997,28,2372,26.4,28
Bobby Reid\Bobby-Reid,jm JAM,MFDF,Fulham,27,1993,33,2372,26.4,28
Raphael Dias Belloli\Raphael-Dias-Belloli,br BRA,MF,Leeds United,23,1996,30,2360,26.2,26
Luka Milivojević\Luka-Milivojevic,rs SRB,MF,Crystal Palace,29,1991,31,2359,26.2,27
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,24,1995,27,2345,26.1,27
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31,1989,29,2332,25.9,26
Bertrand Traoré\Bertrand-Traore,bf BFA,FW,Aston Villa,24,1995,36,2317,25.7,29
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26,1994,28,2299,25.5,27
Kieran Tierney\Kieran-Tierney,sct SCO,DF,Arsenal,23,1997,27,2299,25.5,26
David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,29,1990,26,2295,25.5,26
